[15:02:44.787][C][gpio.binary_sensor:016]: GPIO Binary Sensor 'PIN 20'
[15:03:00.079][S][binary_sensor]: 'PIN 20' >> ON
[15:03:00.084][D][DESK:061]: 00
[15:03:03.342][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.356][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.356][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.356][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.422][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.423][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.423][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.423][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.431][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.431][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.431][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.433][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.441][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.460][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.466][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.487][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.493][D][DESK:061]: 9B:04:15:BF:C2:9D
[15:03:03.510][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.511][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.526][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.532][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.546][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.561][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.570][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.590][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.610][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.610][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.627][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.633][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.663][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.668][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.670][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.692][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.712][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.713][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.716][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.734][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.741][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.766][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.769][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.774][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.795][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.812][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.819][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.834][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.844][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.868][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.868][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.880][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.896][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.915][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.924][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.932][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.946][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.970][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.975][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.999][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.013][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.013][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.014][D][DESK:061]: 9B:04:15:BF:C2:9D
[15:03:04.028][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.035][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.054][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.060][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.077][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.102][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.116][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.116][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.129][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.135][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.156][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.161][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.185][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.206][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.217][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.224][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.239][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.244][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.262][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.278][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.291][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.306][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.315][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.331][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.345][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.351][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.380][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.381][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.409][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.416][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.423][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.438][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.455][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.461][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.487][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.488][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.512][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.518][D][DESK:061]: 9B:04:15:BF:C2:9D
[15:03:04.532][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.540][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.549][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.564][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.571][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.590][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.597][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.616][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.622][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.632][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.647][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.654][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.690][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.690][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.703][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.719][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.719][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.732][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.738][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.762][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:04.773][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.790][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:04.799][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:04.821][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
